1|1|入库|5000|管理员|2024-01-01
2|2|入库|3000|管理员|2024-01-01
3|3|入库|2000|管理员|2024-01-01
4|4|入库|4000|管理员|2024-01-01
5|5|入库|4000|管理员|2024-01-01
6|6|入库|3500|管理员|2024-01-01
7|7|入库|2500|管理员|2024-01-01
8|8|入库|2000|管理员|2024-01-01
9|9|入库|3000|管理员|2024-01-01
10|10|入库|2500|管理员|2024-01-01
11|11|入库|3000|管理员|2024-01-01
12|12|入库|2000|管理员|2024-01-01
13|13|入库|2500|管理员|2024-01-01
14|14|入库|2000|管理员|2024-01-01
15|15|入库|1500|管理员|2024-01-01
16|16|入库|1500|管理员|2024-01-01
17|17|入库|3000|管理员|2024-01-01
18|18|入库|1000|管理员|2024-01-01
19|19|入库|2000|管理员|2024-01-01
20|20|入库|3000|管理员|2024-01-01
21|21|入库|2500|管理员|2024-01-01
22|22|入库|2000|管理员|2024-01-01
23|23|入库|2000|管理员|2024-01-01
24|24|入库|1500|管理员|2024-01-01
25|25|入库|2500|管理员|2024-01-01
26|26|入库|2000|管理员|2024-01-01
27|27|入库|2000|管理员|2024-01-01
28|28|入库|2500|管理员|2024-01-01
29|29|入库|4000|管理员|2024-01-01
30|30|入库|1500|管理员|2024-01-01
31|1|出库|200|药剂师|2024-01-15
32|2|出库|100|药剂师|2024-01-15
33|3|出库|50|药剂师|2024-01-16
34|4|出库|80|药剂师|2024-01-16
35|5|出库|150|药剂师|2024-01-17
36|6|出库|100|药剂师|2024-01-17
37|7|出库|60|药剂师|2024-01-18
38|8|出库|40|药剂师|2024-01-18
39|9|出库|80|药剂师|2024-01-19
40|10|出库|70|药剂师|2024-01-19
